"FAST School of Computing, NUCES, Islamabad",,,,,,
"Allocation of Management Courses, Spring-2023",,,,,,
S.#,Code,Course,CHs,Section,Course Instructor,Course Coordinator
BS Batch 2021,,,,,,
,MG-1002,Marketing Management (CS),3,CS-4A,Sadaf Zahra Usman,
,,,,CS-4B,Sadaf Zahra Usman,
,,,,CS-4C,Tanzeela Akif,
,,,,CS-4D,Tanzeela Akif,
,MG-1001,Fundamentals of Management (CS),3,CS-4A,Ayesha Yaqoob,
,,,,CS-4B,Ayesha Yaqoob,
,,,,CS-4C,Ayesha Yaqoob,
,,,,CS-4D,Muhammad Hassaan,
,MG-1001,Fundamentals of Management (DS),3,DS-4M,Sabqat Mansoor,
,MG-1002,Marketing Management (DS),3,DS-4N,Muhammad Hassaan,
,,,,DS-4U,Bilal Saeed,
,MG-1002,Marketing Management  (SE),3,SE-4P,Bilal Saeed,
,MG-1001,Fundamentals of Management (CY),3,CY-4T,Muhammad Hassaan,
BS Batch 2020,,,,,,
,MG-4033,Digital Marketing (DS),3,DS-6N,Sidra Wasim,
,MG-4033,Digital Marketing (CY),3,CY-6T,Sidra Wasim,
BS Batch 2019,,,,,,
,MG-4013,"Business Strategy (CS)
(Pre-Req: Fundamentals of Management)",3,CS-8A,Usman Zafar Chaudhary,
,MG-4033,Digital Marketing (CS),3,CS-8A,Husbi Ahmed,
,,,,CS-8B,Husbi Ahmed,
,MG-4049,Technopreneurship (CS),3,CS-8A,Usman Ahmed,
,,,,CS-8B,Sadaf Zahra Usman,
,MG-4011,Entrepreneurship (DS),3,DS-N,Ayesha Yaqoob,
